Configuracao,SVM,RandomForest,KNN,MLP,LightGBM
GLCM_Only,0.8861538461538462,0.8480769230769231,0.8453846153846154,0.7738461538461539,0.8688461538461538
LBP_Only,0.953076923076923,0.94,0.9,0.9296153846153846,0.9373076923076923
Stats_Only,0.7734615384615384,0.7923076923076923,0.7492307692307693,0.7276923076923076,0.7953846153846154
GLCM_ +_LBP,0.9626923076923077,0.9569230769230769,0.9107692307692308,0.9484615384615385,0.9526923076923077
GLCM_ +_Stats,0.8976923076923077,0.8596153846153847,0.8476923076923077,0.8742307692307693,0.8853846153846154
LBP_ +_Stats,0.965,0.9569230769230769,0.9084615384615384,0.9434615384615385,0.945
ALL_Features,0.9665384615384616,0.9526923076923077,0.9180769230769231,0.9538461538461539,0.9488461538461539
