Energy Corr Diss_sim Homogen Contrast
0.587351911209331 0.9918145474237302 5.788754921259843 0.7461921177292983 162.3078248031496
0.6061744206531908 0.991238479357353 5.786909448818897 0.7558153586911379 169.01144192913387
0.6014100186207376 0.9909205268247029 5.81373031496063 0.7633620404593537 178.8657726377953
0.6396557274554459 0.9896898794277702 5.999384842519685 0.7619928767157043 187.21038385826773
0.6114441690367466 0.9904456326116475 5.978715551181103 0.7511899291247044 177.26833169291336
0.6045759454341407 0.9917280480684232 5.571358267716535 0.7612924584634098 162.07886318897638
0.6059990305650842 0.9911551296262744 5.803272637795275 0.7574653565610561 170.4451279527559
0.6001235631912512 0.99067112384202 5.96136811023622 0.7467627638943409 174.60789862204723
0.6257717278277115 0.9900392888594359 5.857037401574803 0.7552072601416665 172.79662893700785
0.6280463121713212 0.9888512717240442 5.965059055118109 0.764892706293575 192.6948818897638
0.6319669531841072 0.988366664726846 6.325664370078739 0.7467204937583957 200.71112204724412
0.6081568685947143 0.9911021563348219 5.801058070866143 0.7558369141348915 171.0654527559055
0.6086785661876266 0.9912637281765925 5.794660433070866 0.7521146796211443 168.25578248031496
0.6105034887970063 0.9914010150080582 5.6983267716535435 0.7589664852134604 166.46985728346456
0.6181687125970259 0.9906965436324345 5.716904527559055 0.7717631107253258 178.14160925196848
0.6136138728692204 0.9900690242473176 6.0552411417322825 0.7586523971058841 188.58710629921256
0.5940435039078659 0.9912367969795927 5.980561023622046 0.7353876513889962 167.62856791338584
0.5936498531960328 0.9915853492470524 5.8001968503937 0.750421655924767 163.67605807086613
0.5876290148322745 0.9911276039587918 5.99261811023622 0.7526669674583639 178.82160433070865
0.600449138035352 0.9918819735697325 5.6576033464566935 0.7492213770323304 157.75652066929132
0.5847001920711198 0.9919609617293254 5.6785187007874 0.7489783376909148 158.36552657480314
0.6050301394738674 0.9907808417034959 5.988558070866142 0.7484403421606396 176.26624015748033
0.6146716154593233 0.9906558683871438 5.890625 0.7528826461764055 173.38976377952758
0.6079918782959794 0.9907870708527554 5.890625 0.7529425540302804 173.0850147637795
0.6184384269514814 0.9907529056694637 5.724040354330709 0.7693079319365312 177.24790846456693
0.5944776986155312 0.992006545886823 5.5951033464566935 0.7632137646489356 163.20103346456693
0.6101938277042199 0.9910051672385676 5.793676181102362 0.7578991677943412 170.13139763779526
0.6165340098301136 0.9895695443012238 6.1392716535433065 0.7533272504230908 190.37696850393704
0.6140225505011584 0.9899944998185075 6.1109744094488185 0.7525207410852797 188.2732529527559
0.5997279846952351 0.9914878210843978 5.794414370078741 0.7475603067989073 163.5030757874016
0.6225839248512651 0.9904568707490397 5.902066929133859 0.754953277756365 174.60088582677164
0.6231745244107917 0.9905290098004133 5.719365157480315 0.7722452775552939 178.19451279527556
0.6159476716196705 0.9902126102327793 5.810531496062993 0.7680249606993637 186.4365157480315
0.6143148264019735 0.9903101719036631 5.894438976377952 0.7609100882646773 182.18122539370077
0.6148911640554442 0.9906914867477526 5.990526574803149 0.7415106376280967 172.8988681102362
0.6133373849088474 0.9906580504242509 5.805610236220472 0.7640380035047555 178.84448818897636
0.6008670090061631 0.990825022925167 5.978838582677165 0.7442500397165094 173.49495570866142
0.5686455855706976 0.9927961699387567 5.481668307086615 0.7564084716325262 152.90206692913387
0.5960192860022001 0.9911072949958738 5.888287401574802 0.7540174996092538 173.5388779527559
0.6019605850902154 0.9912795148986372 5.803518700787401 0.7539741435844015 169.79109251968504
0.5876000352173631 0.9911308681609227 5.989911417322835 0.7458785650789591 175.28100393700788
0.5982559476972407 0.9909454138409155 5.805610236220471 0.7656206198956224 179.66978346456693
0.6203789778326122 0.9898830530217452 5.8951771653543314 0.766521135902562 190.19106791338584
0.6178622684665854 0.9892750443560264 6.225393700787402 0.7492791501050573 192.67236712598424
0.6003911418276756 0.991397736591909 5.786909448818898 0.7506812719236055 166.75775098425197
0.6170328819253666 0.9903337236218147 5.975147637795276 0.7491118074438606 175.91793799212599
0.6014566859975451 0.9907405016887495 5.96468996062992 0.7446249390601715 173.47539370078738
0.6044179540364909 0.9912632516342771 5.890994094488188 0.7455508384817782 170.12647637795274
0.6022844380695428 0.9913094741652266 5.797121062992126 0.7548544846647616 169.21296751968504
0.605465024199835 0.9909748954499423 5.816806102362205 0.7631283316874485 178.83649114173227
0.6112606829523601 0.9906949453884134 5.794783464566929 0.7663760934823585 179.53211122047244
0.590417978077538 0.9910657069155023 5.981914370078741 0.7465265184114979 175.06090059055117
0.6110937440440705 0.9902993368423827 5.900221456692913 0.7597303395607453 181.46899606299212
0.6050765964385342 0.9913181260375141 5.789000984251968 0.7533076237897189 167.69402066929132
0.6144633817910842 0.9899720018713065 5.994340551181102 0.7618325966869388 188.11454232283467
0.6082050777366511 0.9910832458952015 5.793061023622047 0.7581498999777734 170.2423720472441
0.615641037799062 0.9899554792699965 5.999261811023621 0.7582699980815599 185.93996062992125
0.6034242808863511 0.9897332520407918 6.330954724409448 0.7406916988770644 194.00590551181105
0.5973334473356576 0.9916331701512746 5.790969488188976 0.747186840445042 162.48855807086616
0.6027274065929884 0.9906571850639889 5.8893946850393695 0.7595622616567868 180.38275098425197
0.6092963707714881 0.9903815019428198 5.982652559055118 0.7511991458439041 177.27079232283464
0.6085915087776953 0.990150639809473 6.119217519685039 0.7413258521637183 179.30696358267716
0.6278121482354162 0.9905793274853708 5.696112204724409 0.7642017036561685 168.7260088582677
0.6429547352849446 0.9893603581948786 5.833415354330708 0.7576370455535728 177.56483759842519
0.5891235332209991 0.9908718542587897 6.092765748031495 0.7402179199935869 173.16092519685037
0.610993089338055 0.9902985233795409 5.972317913385827 0.7514603565628859 177.0007381889764
0.6144684502351271 0.9904960656470118 5.81126968503937 0.7657303787195657 180.15366633858267
0.6094975223828771 0.9902118816565918 6.014763779527559 0.7571566234808991 186.27891240157481
0.6009888102218034 0.9914559644975437 5.790477362204725 0.7579635892894763 170.1957431102362
0.5970352541836428 0.9909972937415822 5.998277559055118 0.741037167667917 169.1170029527559
0.6054811053673974 0.990316740999095 6.015132874015748 0.7601546823482447 187.34633366141733
0.6155247181387559 0.990734905722444 5.872785433070866 0.7480657767426169 170.1336122047244
0.62299533143086 0.9905227590931143 5.800565944881889 0.7632370846663366 177.81090059055117
0.5847675877305185 0.9915439264978773 5.8919783464566935 0.7447157225322033 166.38533464566927
0.6001014361515907 0.9907488098849346 5.988312007874017 0.7512404192476638 177.17593503937007
0.6190599029520352 0.9900932205561586 5.910802165354331 0.7622525697744937 182.93257874015745
0.6085724504842731 0.9913306269180664 5.718503937007874 0.7631377742377389 168.9574311023622
0.5918154246703211 0.9913435783692482 5.986958661417322 0.7472951864970995 174.6206938976378
0.583617690747627 0.9915008713268723 5.9859744094488185 0.7420013922363797 169.8743848425197
0.6258287264472823 0.9899165216328811 5.8984990157480315 0.7646785664323945 183.6957431102362
0.6016645028182398 0.9904306341427852 6.131520669291339 0.7400984727067812 179.4750246062992
0.5980915035578295 0.9911327351246669 5.9921259842519685 0.7367912066419131 167.93688484251967
0.6175651333468654 0.9907971941881981 5.777436023622048 0.7529877929343688 167.66092519685037
0.6080261097466849 0.9913274255350882 5.7202263779527565 0.7632127416717374 169.02337598425197
0.6029073009731203 0.9909122145161515 5.906619094488189 0.7516105163742094 173.86897145669292
0.5948470349926153 0.9903278699034276 6.165477362204725 0.7404314194930828 181.59375
0.5913460959876081 0.9913339504675588 5.946727362204725 0.7413557355040705 170.552657480315
0.6040160097400089 0.9912378677753302 5.803272637795276 0.7575727939786506 170.388656496063
